 #p t-2 #calls       #gen time
  1  45  75    1557774 0.02 
  2  48  39     222997 0.00 
  3  43  46     393172 0.01 
  4  42  61     775774 0.01 
  5  45  30     998617 0.01 
  6  45   2      16694 0.00 
  7  60   3      89090 0.00 
  8  46  51     937621 0.01 
  9  49  69   10086985 0.13 
 10  47  62    2025670 0.03 
 11  61  59   28746200 0.37 
 12  50   4     361182 0.01 
 13  50  62    2348010 0.03 
 14  44  16     701671 1.01 
 15  51  33      83506 0.00 
 16  45  55    1712035 0.02 
 17  52  21     124791 0.00 
 18  55  84   11253474 0.15 
 19  52  22     257757 0.00 
 20  44  87    7080195 0.10 
 21  51  95   13946528 0.20 
 22  51  74    9976621 0.14 
 23  51  65    3974617 0.06 
 24  45 100   17268320 0.26 
 25  54  42     437205 0.01 
 26  54   8      95628 0.00 
 27  59  59    6021698 1.10 
 28  47  37   44649565 0.65 
 29  50  99   97075345 2.40 
 30  50  67   11467191 0.16 
 31  56   2     736150 0.01 
 32  50  91   24567819 0.34 
 33  53  52   10639223 0.15 
 34  45 136   64469840 1.88 
 35  57 118   36388679 1.51 
 36  46  78    8459770 0.11 
 37  48  62    4582497 0.06 
 38  51  58    1287112 0.02 
 39  50  70    6825448 0.09 
 40  58  48   11562993 0.17 
 41  56  25    4737918 0.07 
 42  52  43    1091014 0.02 
 43  57  31    7334729 0.10 
 44  51  79    4489845 0.06 
 45  51 118   43185938 1.61 
 46  67  66    5512354 0.08 
 47  53 107   10601151 0.15 
 48  47 105   49412277 1.68 
 49  54  41   20120664 0.27 
 50  53 102   16320685 0.21 
 51  51  97   11591935 0.15 
 52  59  41   41540564 1.52 
 53  56  94   20981300 0.27 
 54  55 106   23230245 1.31 
 55  50 134   63414497 0.84 
 56  51 106   38998313 1.49 
 57  50 130   42602825 0.55 
 58  55  78   25481381 1.32 
 59  58 112   41212613 0.54 
 60  51 109   47904788 1.63 
 61  51 125    9002032 0.12 
 62  56  80   23236487 0.31 
 63  56 126  155025013 2.96 
 64  55  78   24294703 1.32 
 65  58  81   62317984 0.75 
 66  60  38   10685163 1.13 
 67  58  37     724877 0.01 
 68  53 133   67419798 0.90 
 69  55  98   35842403 1.44 
 70  55 122   64567693 1.82 
 71  60  79   53434301 0.69 
 72  57 105   52661930 1.75 
 73  59  85   14890633 0.21 
 74  49 150  150207578 3.29 
 75  55 147   75222169 1.08 
 76  52 138  194563511 2.67 

 largo total: 3966
expansiones totales: 1958066775

promedio de largo por problema 59.19402985074627
promedio de expansiones por problema 29224877.23880597
