 #p t-2 #calls       #gen time
  1  45  78    1737022 0.03 
  2  48  40     233591 0.00 
  3  43  42     269612 0.00 
  4  42  60     653482 0.01 
  5  45  43    1698254 0.03 
  6  45   9      83962 0.00 
  7  58   3      25604 0.00 
  8  46  53     912597 0.01 
  9  49  72    9516720 0.12 
 10  47  74    3380575 0.05 
 11  61  61   20265453 0.27 
 12  50  11     786665 0.01 
 13  46  74    3925901 0.06 
 14  44  25    1633446 0.02 
 15  51  49     188573 0.00 
 16  45  64    2646263 0.04 
 17  52  29     254636 0.00 
 18  55  83    9378532 0.12 
 19  52  32     687074 0.01 
 20  44  89    7431393 0.10 
 21  51  98   15099810 1.20 
 22  51  82   13373801 0.19 
 23  49  68    3211126 0.05 
 24  45 105   21165473 0.31 
 25  54  54     906163 0.01 
 26  54  23    1532751 0.02 
 27  57  75   11414957 0.16 
 28  47  49   49815689 1.78 
 29  50 112  134644288 2.94 
 30  50  80   14300816 0.20 
 31  56   2     276998 0.00 
 32  50 102   40524903 1.57 
 33  53  70   19676381 0.26 
 34  45 142   88574453 1.18 
 35  57 118   36800642 1.51 
 36  46  89   11911006 0.16 
 37  48  76    7215478 0.10 
 38  51  65    2284355 0.03 
 39  50  76    9053152 0.13 
 40  58  45    4659619 0.07 
 41  56  29    2923817 0.04 
 42  52  56    1987399 0.03 
 43  55  42    7486339 0.11 
 44  51  84    5551828 1.08 
 45  51 119   42626936 0.57 
 46  67  68    7070263 0.10 
 47  53 119   18224001 0.24 
 48  47 110   67876039 1.88 
 49  54  51   20820565 1.27 
 50  53 114   28567865 0.37 
 51  51 107   15818096 0.21 
 52  59  69  140881536 2.78 
 53  56 105   33536301 0.50 
 54  55 121   48222155 1.73 
 55  50 135   62663660 1.98 
 56  51 101   27132222 1.39 
 57  50 139   59382045 0.88 
 58  55  98   49750695 1.74 
 59  56 123   59080995 1.95 
 60  51 111   49081395 1.98 
 61  51 135   15621557 0.32 
 62  56  92   39871939 1.77 
 63  54 143  286223251 5.58 
 64  55  95   53555443 0.71 
 65  58  96  107438600 2.38 
 66  58  44   10150433 0.13 
 67  58  61    2670234 0.04 
 68  53 140   98595429 1.35 
 69  55 120   66484212 2.23 
 70  55 136  122668207 2.10 
 71  60  92   78247621 1.23 
 72  57 119   81289803 1.07 
 73  57  91   18423373 0.25 
 74  49 155  209134753 3.92 
 75  55 154   99991362 2.43 
 76  52 147  291682479 3.75

 largo total: 3946
expansiones totales: 2882884064

promedio de largo por problema 58.8955223880597
promedio de expansiones por problema 43028120.358208954
