 #p t-2 #calls       #gen time
  1  45  75    1557774 0.02 
  2  48  39     222997 0.00 
  3  43  46     393172 0.01 
  4  42  61     775774 0.01 
  5  45  30     998617 0.01 
  6  45   2      16694 0.00 
  7  60   3      90420 0.00 
  8  46  51     937621 0.01 
  9  49  69   10086985 1.13 
 10  47  62    2025670 0.03 
 11  61  59   28726676 0.37 
 12  50   4     361182 0.01 
 13  50  62    2348010 0.03 
 14  44  16     701671 0.01 
 15  51  33      83506 0.00 
 16  45  55    1712035 0.02 
 17  52  21     124791 0.00 
 18  55  84   11253474 0.15 
 19  52  22     257757 0.00 
 20  44  87    7080195 0.09 
 21  51  95   13946528 0.18 
 22  51  74    9976621 1.13 
 23  51  65    3974617 0.05 
 24  45 100   17268320 0.22 
 25  54  42     437205 0.01 
 26  54   8      95628 0.00 
 27  59  59    6021698 0.08 
 28  47  37   44649565 0.57 
 29  50  99   97075345 2.17 
 30  50  67   11467191 0.15 
 31  56   2     736150 0.01 
 32  50  91   24567819 0.31 
 33  53  52   10639223 0.15 
 34  45 136   64469840 1.83 
 35  57 118   36388679 1.51 
 36  46  78    8459770 0.13 
 37  48  62    4582497 0.06 
 38  51  58    1287112 0.02 
 39  50  70    6825448 0.10 
 40  58  49   12345032 0.18 
 41  56  25    4737918 0.07 
 42  52  43    1091014 0.02 
 43  57  31    7334729 0.11 
 44  51  79    4489845 0.06 
 45  51 118   43185938 1.57 
 46  67  66    5479452 0.07 
 47  53 107   10601151 0.14 
 48  47 105   49412277 1.78 
 49  54  41   20120664 0.31 
 50  53 102   16320685 0.23 
 51  51  97   11591935 1.17 
 52  59  41   41540564 0.59 
 53  56  94   20981300 1.30 
 54  55 106   23230245 0.33 
 55  50 134   63414497 1.90 
 56  51 106   38998313 0.61 
 57  50 130   42602825 1.63 
 58  55  78   25481381 0.36 
 59  58 112   41212613 1.54 
 60  51 109   47904788 1.68 
 61  51 125    9002032 0.12 
 62  56  80   23236487 0.32 
 63  56 126  155025013 2.19 
 64  55  78   24294703 1.35 
 65  58  81   62317984 0.81 
 66  60  38   10685163 0.14 
 67  58  37     724877 0.01 
 68  53 133   67419798 1.90 
 69  55  98   35842403 1.44 
 70  55 122   64567693 1.82 
 71  60  79   53434402 0.69 
 72  57 105   52661930 1.67 
 73  59  85   14890633 0.19 
 74  49 150  150207578 2.97 
 75  55 147   75222169 1.99 
 76  52 138  194563511 3.46

largo total: 3966
expansiones totales: 1958797819

promedio de largo por problema 59.19402985074627
promedio de expansiones por problema 29235788.343283582
